call_id,is_repeat_call,parent_call_id,call_date,call_type,call_subreason,scenario,customer_id,account_id,rep_id,rep_name,site,queue_name,department,agent_tenure_months,agent_strain_tier,agent_qa_score,agent_aht_secs_base,friction_tier,aht_secs,rep_gaming_propensity,rep_policy_skill,rep_burnout_level,rep_calls_handled,imei_mismatch_flag,nrf_generated_flag,promo_override_post_call,line_added_no_usage_flag,line_added_same_day_store,rep_aware_gaming,true_resolution,resolution_flag,repeat_contact_30d,repeat_contact_31_60d,escalation_flag,credit_applied,credit_amount,credit_type,credit_authorized,customer_tenure_months,customer_monthly_charges,customer_lines,customer_churn_risk,customer_churn_risk_effective,customer_trust_baseline,customer_patience,customer_is_churned
CALL-0006845,0,,2025-02-07,Network Coverage,,clean,C0005295,A0005295,REP00151,Michelle Castillo,NovaWireless,General Support,Call Center,42,low,0.6897,521.84,normal,420,0.2487,0.6044,0.2381,1,False,False,False,False,False,False,True,True,False,False,False,False,0.0,none,True,46,99.85,1,0.246477,0.246477,79.98739,0.440566,0
CALL-0006846,0,,2025-02-13,Billing Dispute,,clean,C0002770,A0002770,REP00096,Anthony Gonzalez,NovaWireless,General Support,Call Center,29,medium,0.6228,577.83,normal,470,0.3204,0.46,0.4488,1,False,False,False,False,False,False,False,True,False,False,False,False,0.0,none,True,61,64.48,1,0.210332,0.210332,88.064459,0.308765,0
CALL-0006847,0,,2025-02-11,Device Issue,Device activation,activation_clean,C0003294,A0003294,REP00026,Anthony Baker,NovaWireless,General Support,Call Center,37,medium,0.6337,529.44,normal,575,0.3483,0.4835,0.4775,1,False,False,False,False,False,False,True,True,False,False,False,False,0.0,none,True,14,46.05,0,0.192106,0.172895,88.886864,0.434776,0
CALL-0006848,0,,2025-02-23,Billing Dispute,,clean,C0001047,A0001047,REP00107,Alana Ortiz,NovaWireless,General Support,Call Center,39,medium,0.6507,551.23,normal,449,0.3482,0.5202,0.5026,1,False,False,False,False,False,False,False,True,False,False,False,False,0.0,none,True,10,40.43,1,0.365498,0.365498,58.424712,0.60117,0
CALL-0006849,0,,2025-02-11,Promotion Inquiry,Promo not applied,fraud_store_promo,C0009896,A0009896,REP00201,Alexa Murphy,NovaWireless,General Support,Call Center,38,medium,0.6558,534.67,normal,817,0.2894,0.5312,0.4521,1,True,True,True,False,False,False,False,True,False,False,False,True,25.0,dispute_credit,True,45,54.3,0,0.269048,0.403572,76.914949,0.272554,0
CALL-0006850,0,,2025-02-02,Device Issue,Activation failed,activation_failed,C0008950,A0008950,REP00110,Brianna Hall,NovaWireless,General Support,Call Center,30,medium,0.5896,533.1,high,997,0.2531,0.3883,0.3987,1,True,False,False,False,False,False,False,False,False,False,False,True,9.64,service_credit,True,9,86.2,2,0.280862,0.379164,47.743796,0.13259,0
CALL-0006851,0,,2025-02-06,Device Issue,Activation failed,activation_failed,C0003901,A0003901,REP00079,Jada Wong,NovaWireless,General Support,Call Center,43,low,0.7446,464.25,normal,638,0.259,0.7229,0.2964,1,True,False,False,False,False,False,False,False,True,False,False,True,8.33,service_credit,True,4,22.83,0,0.411326,0.55529,69.273038,0.937666,1
CALL-0006852,1,CALL-0006851,2025-02-07,Device Issue,Activation failed,activation_failed,C0003901,A0003901,REP00085,Kyle Khan,NovaWireless,General Support,Call Center,27,low,0.5733,556.16,high,817,0.3179,0.3532,0.4426,1,True,False,False,False,False,False,False,True,True,True,True,False,0.0,none,True,4,22.83,0,0.411326,0.55529,69.233038,0.937666,1
CALL-0006853,0,,2025-02-03,Network Coverage,,gamed_metric,C0002983,A0002983,REP00040,Samuel Gomez,NovaWireless,General Support,Call Center,45,medium,0.64,547.42,low,318,0.3397,0.4971,0.4667,1,False,False,False,False,False,True,False,True,False,False,False,True,17.42,bandaid,False,8,88.09,1,0.229046,0.286307,63.374248,0.30831,0
CALL-0006854,0,,2025-02-25,Billing Dispute,Line added without consent,fraud_line_add,C0006334,A0006334,REP00069,Sophia Sanders,NovaWireless,General Support,Call Center,34,low,0.6367,512.79,high,934,0.1659,0.49,0.3671,1,False,False,False,False,True,False,False,False,True,False,True,True,48.47,dispute_credit,True,21,100.6,3,0.171275,0.299731,85.98322099999999,0.928829,0
CALL-0006855,1,CALL-0006854,2025-02-24,Billing Dispute,Line added without consent,fraud_line_add,C0006334,A0006334,REP00130,Casey Morgan,NovaWireless,General Support,Call Center,39,medium,0.576,585.19,normal,1024,0.4261,0.359,0.5417,1,False,False,True,True,True,False,True,True,False,True,False,True,36.13,dispute_credit,True,21,100.6,3,0.171275,0.299731,85.80322099999998,0.928829,0
CALL-0006856,0,,2025-02-14,Billing Dispute,,clean,C0009296,A0009296,REP00159,Anita Kelley,NovaWireless,General Support,Call Center,24,low,0.6798,506.61,normal,515,0.2407,0.583,0.2945,1,False,False,False,False,False,False,True,True,False,False,False,True,10.73,courtesy,True,15,34.13,1,0.302864,0.302864,75.049012,0.478014,1
CALL-0006857,0,,2025-02-24,Network Coverage,,clean,C0008414,A0008414,REP00120,William Powell,NovaWireless,General Support,Call Center,35,medium,0.6064,541.9,high,551,0.3632,0.4246,0.5244,1,False,False,False,False,False,False,True,True,False,False,False,False,0.0,none,True,0,74.47,2,0.242709,0.242709,98.0,0.614891,0
CALL-0006858,0,,2025-02-09,Device Issue,Device activation,activation_clean,C0000301,A0000301,REP00207,Ari Cruz,NovaWireless,General Support,Call Center,33,medium,0.4106,537.72,normal,653,0.4081,0.002,0.4835,1,False,False,False,False,False,False,True,True,True,False,False,False,0.0,none,True,38,119.23,1,0.24554,0.220986,73.0468,0.640067,1
