call_id,is_repeat_call,parent_call_id,call_date,call_type,call_subreason,scenario,customer_id,account_id,rep_id,rep_name,site,queue_name,department,agent_tenure_months,agent_strain_tier,agent_qa_score,agent_aht_secs_base,friction_tier,aht_secs,rep_gaming_propensity,rep_policy_skill,rep_burnout_level,rep_calls_handled,imei_mismatch_flag,nrf_generated_flag,promo_override_post_call,line_added_no_usage_flag,line_added_same_day_store,rep_aware_gaming,true_resolution,resolution_flag,repeat_contact_30d,repeat_contact_31_60d,escalation_flag,credit_applied,credit_amount,credit_type,credit_authorized,customer_tenure_months,customer_monthly_charges,customer_lines,customer_churn_risk,customer_churn_risk_effective,customer_trust_baseline,customer_patience,customer_is_churned
CALL-0000001,0,,2025-01-03,Account Inquiry,,clean,C0000893,A0000893,REP00194,Brianna Ross,NovaWireless,General Support,Call Center,37,low,0.6049,537.81,normal,451,0.2662,0.4214,0.3834,1,False,False,False,False,False,False,True,True,False,False,False,False,0.0,none,True,10,26.15,1,0.39532,0.39532,65.080793,0.520969,0
CALL-0000002,0,,2025-01-14,Promotion Inquiry,,gamed_metric,C0008583,A0008583,REP00207,Ari Cruz,NovaWireless,General Support,Call Center,33,medium,0.4106,537.72,normal,388,0.4391,0.002,0.4835,1,False,False,False,False,False,True,False,True,False,False,False,True,14.7,bandaid,False,14,44.74,3,0.266097,0.332621,89.787971,0.490059,1
CALL-0000003,0,,2025-01-07,Promotion Inquiry,Promo not applied,fraud_store_promo,C0004758,A0004758,REP00083,Christian Lewis,NovaWireless,General Support,Call Center,40,medium,0.5648,573.29,normal,849,0.3538,0.3348,0.5759,1,False,False,True,False,False,True,False,True,True,True,True,True,25.0,dispute_credit,True,70,44.35,2,0.293534,0.440301,76.745369,0.076119,0
CALL-0000004,1,CALL-0000003,2025-01-11,Promotion Inquiry,Promo not applied,fraud_store_promo,C0004758,A0004758,REP00177,Thomas Evans,NovaWireless,General Support,Call Center,33,low,0.6127,585.97,high,759,0.2773,0.4382,0.4333,1,False,False,True,False,False,False,False,True,False,False,False,True,25.0,dispute_credit,True,70,44.35,2,0.293534,0.440301,76.62536899999999,0.076119,0
CALL-0000005,1,CALL-0000003,2025-01-07,Promotion Inquiry,Promo not applied,fraud_store_promo,C0004758,A0004758,REP00246,Ella Walker,NovaWireless,General Support,Call Center,29,medium,0.527,557.52,normal,618,0.3181,0.2532,0.4329,1,False,False,True,False,False,False,False,True,False,True,False,True,25.0,dispute_credit,True,70,44.35,2,0.293534,0.440301,76.50536899999999,0.076119,0
CALL-0000006,0,,2025-01-22,Billing Dispute,,unresolvable_clean,C0000901,A0000901,REP00193,Ella White,NovaWireless,General Support,Call Center,13,medium,0.7128,551.12,normal,781,0.3269,0.6542,0.4661,1,False,False,False,False,False,False,False,True,True,False,False,True,21.33,service_credit,True,13,68.51,5,0.269185,0.376859,59.224913,0.415301,1
CALL-0000007,1,CALL-0000006,2025-01-03,Promotion Inquiry,,unresolvable_clean,C0000901,A0000901,REP00195,Elliot Ortiz,NovaWireless,General Support,Call Center,26,medium,0.6886,522.62,normal,645,0.3141,0.602,0.4089,1,False,False,False,False,False,False,False,True,False,False,False,True,23.14,service_credit,True,13,68.51,5,0.269185,0.376859,59.174913000000004,0.415301,1
CALL-0000008,0,,2025-01-09,Billing Dispute,,clean,C0006288,A0006288,REP00022,Charlotte Patel,NovaWireless,General Support,Call Center,27,medium,0.6275,579.67,normal,477,0.3308,0.4701,0.5353,1,False,False,False,False,False,False,True,True,False,True,False,True,13.91,courtesy,True,66,54.81,1,0.143345,0.143345,80.0145,0.317782,0
CALL-0000009,1,CALL-0000008,2025-01-22,Payment Arrangement,,clean,C0006288,A0006288,REP00123,Christian Stewart,NovaWireless,General Support,Call Center,36,low,0.7073,496.22,normal,494,0.2611,0.6424,0.2885,1,False,False,False,False,False,False,True,True,False,False,False,True,11.41,courtesy,True,66,54.81,1,0.143345,0.143345,80.0145,0.317782,0
CALL-0000010,0,,2025-01-04,Device Issue,Device activation,activation_clean,C0007687,A0007687,REP00081,Naomi Martinez,NovaWireless,General Support,Call Center,27,high,0.7252,582.56,normal,566,0.3915,0.681,0.6228,1,False,False,False,False,False,False,False,True,False,False,False,False,0.0,none,True,15,86.95,1,0.093958,0.084562,45.433383,0.724278,0
CALL-0000011,0,,2025-01-30,Device Issue,Device activation,activation_clean,C0004351,A0004351,REP00243,Christian Parker,NovaWireless,General Support,Call Center,38,high,0.6102,582.75,normal,577,0.396,0.4328,0.5748,1,False,False,False,False,False,False,True,True,False,False,False,False,0.0,none,True,0,93.94,2,0.317455,0.28571,72.985997,0.120116,0
CALL-0000012,0,,2025-01-05,Device Issue,,clean,C0008312,A0008312,REP00223,Charles Turner,NovaWireless,General Support,Call Center,38,low,0.6954,531.74,high,562,0.2524,0.6167,0.3933,1,False,False,False,False,False,False,True,True,False,False,False,False,0.0,none,True,3,77.84,2,0.240161,0.240161,88.019323,0.172301,0
CALL-0000013,0,,2025-01-05,Promotion Inquiry,,clean,C0007662,A0007662,REP00146,Anita Jenkins,NovaWireless,General Support,Call Center,34,low,0.7723,500.49,normal,484,0.1942,0.7827,0.3771,1,False,False,False,False,False,False,True,True,False,False,False,True,10.0,courtesy,True,62,52.63,2,0.251575,0.251575,44.924841,0.216834,1
CALL-0000014,0,,2025-01-05,Payment Arrangement,,clean,C0001059,A0001059,REP00181,Christian Singh,NovaWireless,General Support,Call Center,28,low,0.7187,490.01,normal,446,0.3151,0.667,0.2798,1,False,False,False,False,False,False,True,True,False,False,False,False,0.0,none,True,35,64.46,1,0.132585,0.132585,77.365051,0.507025,0
CALL-0000015,0,,2025-01-28,Device Issue,,clean,C0001189,A0001189,REP00094,Penelope Stewart,NovaWireless,General Support,Call Center,36,medium,0.6683,524.11,high,471,0.3283,0.5582,0.4285,1,False,False,False,False,False,False,True,True,False,False,False,False,0.0,none,True,2,71.98,2,0.247983,0.247983,74.839969,0.218522,0
CALL-0000016,0,,2025-01-09,Billing Dispute,,clean,C0001656,A0001656,REP00039,Mason Garcia,NovaWireless,General Support,Call Center,18,low,0.6237,542.82,low,404,0.2422,0.4619,0.331,1,False,False,False,False,False,False,True,True,False,False,True,True,11.18,courtesy,True,19,41.12,3,0.241247,0.241247,93.913229,0.538909,0
CALL-0000017,0,,2025-01-23,Network Coverage,,clean,C0009489,A0009489,REP00105,Gabriella Allen,NovaWireless,General Support,Call Center,39,medium,0.6514,540.37,normal,550,0.3112,0.5217,0.39,1,False,False,False,False,False,False,True,True,False,False,False,False,0.0,none,True,61,56.51,3,0.191457,0.191457,89.528213,0.516289,0
CALL-0000018,0,,2025-01-16,Device Issue,Device activation,activation_clean,C0005361,A0005361,REP00081,Naomi Martinez,NovaWireless,General Support,Call Center,27,high,0.7252,582.56,normal,698,0.3905,0.6816,0.6223,2,False,False,False,False,False,False,True,True,False,False,False,False,0.0,none,True,34,71.02,3,0.213546,0.192191,73.597203,0.256033,1
CALL-0000019,0,,2025-01-28,Network Coverage,,unresolvable_clean,C0009489,A0009489,REP00168,Carmen Stewart,NovaWireless,General Support,Call Center,23,medium,0.5781,534.81,normal,716,0.4119,0.3635,0.5063,1,False,False,False,False,False,False,False,True,False,False,True,True,20.48,service_credit,True,61,56.51,3,0.191457,0.26804,89.478213,0.516289,0
CALL-0000020,0,,2025-01-29,Payment Arrangement,,clean,C0000845,A0000845,REP00131,Eleanor Torres,NovaWireless,General Support,Call Center,29,medium,0.5107,545.9,high,703,0.3194,0.218,0.4294,1,False,False,False,False,False,False,True,True,False,False,False,True,12.61,courtesy,True,2,59.24,1,0.137403,0.137403,83.795712,0.589596,0
