call_id,is_repeat_call,parent_call_id,call_date,call_type,call_subreason,scenario,customer_id,account_id,rep_id,rep_name,site,queue_name,department,agent_tenure_months,agent_strain_tier,agent_qa_score,agent_aht_secs_base,friction_tier,aht_secs,rep_gaming_propensity,rep_policy_skill,rep_burnout_level,rep_calls_handled,imei_mismatch_flag,nrf_generated_flag,promo_override_post_call,line_added_no_usage_flag,line_added_same_day_store,rep_aware_gaming,true_resolution,resolution_flag,repeat_contact_30d,repeat_contact_31_60d,escalation_flag,credit_applied,credit_amount,credit_type,credit_authorized,customer_tenure_months,customer_monthly_charges,customer_lines,customer_churn_risk,customer_churn_risk_effective,customer_trust_baseline,customer_patience,customer_is_churned
CALL-0061697,0,,2025-10-17,Account Inquiry,,unresolvable_clean,C0002757,A0002757,REP00191,Andre Allen,NovaWireless,General Support,Call Center,39,low,0.6745,509.34,high,835,0.2347,0.5716,0.3694,1,False,False,False,False,False,False,False,True,True,False,False,True,24.73,service_credit,True,50,52.4,3,0.031894,0.044652,58.863838,0.626919,0
CALL-0061698,1,CALL-0061697,2025-10-20,Payment Arrangement,,unresolvable_clean,C0002757,A0002757,REP00061,Matthew Shah,NovaWireless,General Support,Call Center,22,medium,0.7053,557.21,normal,669,0.3858,0.6381,0.4684,1,False,False,False,False,False,False,False,False,False,True,False,True,22.52,service_credit,True,50,52.4,3,0.031894,0.044652,58.813838000000004,0.626919,0
CALL-0061699,0,,2025-10-03,Network Coverage,,clean,C0000520,A0000520,REP00227,Mila Powell,NovaWireless,General Support,Call Center,25,low,0.6969,525.25,normal,536,0.2292,0.6199,0.3345,1,False,False,False,False,False,False,True,True,False,False,False,False,0.0,none,True,47,70.07,3,0.249344,0.249344,81.031035,0.595712,1
CALL-0061700,0,,2025-10-22,Promotion Inquiry,Eligibility question,fraud_care_promo,C0001257,A0001257,REP00113,Lucy Powell,NovaWireless,General Support,Call Center,48,medium,0.6369,580.39,high,868,0.384,0.4904,0.3714,1,False,False,True,False,False,True,False,True,False,True,False,False,0.0,none,True,38,32.43,3,0.395775,0.534296,90.04354400000001,0.255844,0
CALL-0061701,1,CALL-0061700,2025-10-11,Promotion Inquiry,Eligibility question,fraud_care_promo,C0001257,A0001257,REP00220,Leah Edwards,NovaWireless,General Support,Call Center,29,medium,0.6909,478.82,normal,647,0.3563,0.607,0.4184,1,False,False,True,False,False,True,False,True,True,True,True,False,0.0,none,True,38,32.43,3,0.395775,0.534296,89.94354400000002,0.255844,0
CALL-0061702,0,,2025-10-10,Device Issue,,clean,C0007045,A0007045,REP00130,Casey Morgan,NovaWireless,General Support,Call Center,39,medium,0.576,585.19,normal,551,0.4261,0.359,0.5417,1,False,False,False,False,False,False,True,True,False,False,False,False,0.0,none,True,68,65.96,4,0.362534,0.362534,78.210903,0.806205,0
CALL-0061703,0,,2025-10-25,Network Coverage,,clean,C0001867,A0001867,REP00183,Luis Nguyen,NovaWireless,General Support,Call Center,35,high,0.6382,574.06,normal,542,0.3632,0.4932,0.622,1,False,False,False,False,False,False,True,True,False,False,False,False,0.0,none,True,52,85.05,1,0.214698,0.214698,68.252757,0.295377,0
CALL-0061704,0,,2025-10-28,Device Issue,,unresolvable_clean,C0008955,A0008955,REP00080,Mateo Jenkins,NovaWireless,General Support,Call Center,42,medium,0.7015,519.8,high,726,0.321,0.6299,0.3894,1,False,False,False,False,False,False,False,True,True,False,False,True,22.85,service_credit,True,20,29.69,1,0.246923,0.345692,77.142618,0.283887,0
CALL-0061705,1,CALL-0061704,2025-10-01,Account Inquiry,,unresolvable_clean,C0008955,A0008955,REP00154,Aiden Hall,NovaWireless,General Support,Call Center,31,medium,0.5967,596.1,normal,620,0.4083,0.4037,0.5511,1,False,False,False,False,False,False,False,False,False,False,False,True,20.45,service_credit,True,20,29.69,1,0.246923,0.345692,77.092618,0.283887,0
CALL-0061706,0,,2025-10-22,Promotion Inquiry,Promo not applied,fraud_store_promo,C0009501,A0009501,REP00183,Luis Nguyen,NovaWireless,General Support,Call Center,35,high,0.6382,574.06,high,844,0.3832,0.4942,0.6215,2,False,False,True,False,True,False,False,True,True,True,False,False,0.0,none,True,34,94.01,2,0.372213,0.55832,87.08118999999999,0.698317,0
CALL-0061707,1,CALL-0061706,2025-10-11,Promotion Inquiry,Promo not applied,fraud_store_promo,C0009501,A0009501,REP00082,James Smith,NovaWireless,General Support,Call Center,31,medium,0.7276,525.82,normal,599,0.3091,0.6862,0.4288,1,False,False,True,False,False,False,False,True,False,False,False,True,25.0,dispute_credit,True,34,94.01,2,0.372213,0.55832,86.96118999999999,0.698317,0
CALL-0061708,1,CALL-0061706,2025-10-02,Promotion Inquiry,Promo not applied,fraud_store_promo,C0009501,A0009501,REP00218,Jordan Torres,NovaWireless,General Support,Call Center,32,low,0.6635,466.39,high,846,0.271,0.5478,0.2447,1,False,False,True,False,False,False,False,True,False,False,True,True,25.0,dispute_credit,True,34,94.01,2,0.372213,0.55832,86.84118999999998,0.698317,0
CALL-0061709,0,,2025-10-10,Promotion Inquiry,Promo not applied,fraud_store_promo,C0005907,A0005907,REP00159,Anita Kelley,NovaWireless,General Support,Call Center,24,low,0.6798,506.61,normal,561,0.2407,0.583,0.2945,1,False,False,True,False,False,False,True,True,False,True,False,True,25.0,dispute_credit,True,30,28.54,1,0.07771,0.116565,62.188190000000006,0.739034,0
CALL-0061710,1,CALL-0061709,2025-10-26,Promotion Inquiry,Promo not applied,fraud_store_promo,C0005907,A0005907,REP00040,Samuel Gomez,NovaWireless,General Support,Call Center,45,medium,0.64,547.42,low,660,0.3087,0.4971,0.4667,1,False,False,False,False,True,True,False,False,True,False,False,True,25.0,dispute_credit,True,30,28.54,1,0.07771,0.116565,62.06819000000001,0.739034,0
CALL-0061711,0,,2025-10-03,Network Coverage,,clean,C0007294,A0007294,REP00140,Mateo Jones,NovaWireless,General Support,Call Center,23,medium,0.6587,491.46,normal,398,0.3758,0.5375,0.4079,1,False,False,False,False,False,False,True,True,False,False,False,False,0.0,none,True,2,52.97,1,0.190586,0.190586,68.942236,0.711997,0
CALL-0061712,0,,2025-10-28,Account Inquiry,,clean,C0003349,A0003349,REP00234,Samantha Hill,NovaWireless,General Support,Call Center,36,medium,0.583,515.54,high,618,0.4717,0.3741,0.3448,1,False,False,False,False,False,False,True,True,False,False,False,False,0.0,none,True,43,28.91,1,0.406322,0.406322,81.813164,0.321769,1
