call_id,is_repeat_call,parent_call_id,call_date,call_type,call_subreason,scenario,customer_id,account_id,rep_id,rep_name,site,queue_name,department,agent_tenure_months,agent_strain_tier,agent_qa_score,agent_aht_secs_base,friction_tier,aht_secs,rep_gaming_propensity,rep_policy_skill,rep_burnout_level,rep_calls_handled,imei_mismatch_flag,nrf_generated_flag,promo_override_post_call,line_added_no_usage_flag,line_added_same_day_store,rep_aware_gaming,true_resolution,resolution_flag,repeat_contact_30d,repeat_contact_31_60d,escalation_flag,credit_applied,credit_amount,credit_type,credit_authorized,customer_tenure_months,customer_monthly_charges,customer_lines,customer_churn_risk,customer_churn_risk_effective,customer_trust_baseline,customer_patience,customer_is_churned
CALL-0020528,0,,2025-04-13,Account Inquiry,,clean,C0008009,A0008009,REP00194,Brianna Ross,NovaWireless,General Support,Call Center,37,low,0.6049,537.81,normal,413,0.2872,0.4214,0.3834,1,False,False,False,False,False,False,False,True,False,False,False,False,0.0,none,True,49,60.89,2,0.200949,0.200949,77.852499,0.606471,1
CALL-0020529,0,,2025-04-20,Device Issue,Device activation,activation_clean,C0002720,A0002720,REP00135,Chris Brown,NovaWireless,General Support,Call Center,36,medium,0.5404,593.47,low,540,0.255,0.2821,0.464,1,False,False,False,False,False,False,True,True,False,False,False,False,0.0,none,True,26,79.22,2,0.261478,0.23533,65.467493,0.470457,0
CALL-0020530,0,,2025-04-29,Billing Dispute,Line added without consent,fraud_line_add,C0005688,A0005688,REP00245,Carter Gomez,NovaWireless,General Support,Call Center,36,medium,0.6927,524.02,normal,737,0.3132,0.6109,0.384,1,False,False,False,False,True,False,False,True,True,True,True,True,40.82,dispute_credit,True,3,93.63,1,0.325216,0.569128,75.177495,0.814153,1
CALL-0020531,1,CALL-0020530,2025-04-27,Billing Dispute,Line added without consent,fraud_line_add,C0005688,A0005688,REP00112,Tristan Scott,NovaWireless,General Support,Call Center,28,low,0.5836,478.32,peak,1100,0.2751,0.3754,0.3604,1,False,False,False,True,False,False,False,True,True,True,True,True,41.04,dispute_credit,True,3,93.63,1,0.325216,0.569128,74.99749499999999,0.814153,1
CALL-0020532,1,CALL-0020530,2025-04-28,Billing Dispute,Line added without consent,fraud_line_add,C0005688,A0005688,REP00246,Ella Walker,NovaWireless,General Support,Call Center,29,medium,0.527,557.52,low,575,0.3181,0.2532,0.4329,1,False,False,False,True,True,False,False,True,True,True,False,False,0.0,none,True,3,93.63,1,0.325216,0.569128,74.81749499999998,0.814153,1
CALL-0020533,0,,2025-04-25,Billing Dispute,,clean,C0001046,A0001046,REP00207,Ari Cruz,NovaWireless,General Support,Call Center,33,medium,0.4106,537.72,normal,514,0.4291,0.002,0.4835,1,False,False,False,False,False,False,False,True,False,False,False,True,14.22,courtesy,True,9,83.04,2,0.287369,0.287369,94.9186,0.21651,0
CALL-0020534,0,,2025-04-19,Network Coverage,,clean,C0001936,A0001936,REP00159,Anita Kelley,NovaWireless,General Support,Call Center,24,low,0.6798,506.61,low,324,0.2407,0.583,0.2945,1,False,False,False,False,False,False,True,True,False,False,False,False,0.0,none,True,7,91.2,3,0.273371,0.273371,64.328436,0.826327,0
CALL-0020535,0,,2025-04-12,Promotion Inquiry,,clean,C0000279,A0000279,REP00153,Olivia Powell,NovaWireless,General Support,Call Center,21,low,0.5517,523.18,normal,433,0.325,0.3065,0.3198,1,False,False,False,False,False,False,True,True,False,False,False,True,10.0,courtesy,True,48,30.12,3,0.351369,0.351369,92.122142,0.867462,0
CALL-0020536,0,,2025-04-27,Network Coverage,,unresolvable_clean,C0004805,A0004805,REP00045,Jace Taylor,NovaWireless,General Support,Call Center,25,medium,0.5838,601.21,normal,885,0.3324,0.3758,0.5577,1,False,False,False,False,False,False,False,False,True,False,False,True,20.79,service_credit,True,43,35.92,1,0.418963,0.586548,84.24317500000001,0.517484,0
CALL-0020537,1,CALL-0020536,2025-04-12,Billing Dispute,,unresolvable_clean,C0004805,A0004805,REP00072,Alex Ward,NovaWireless,General Support,Call Center,33,medium,0.6554,560.2,low,569,0.3526,0.5304,0.4915,1,False,False,False,False,False,False,False,False,False,True,False,True,23.4,service_credit,True,43,35.92,1,0.418963,0.586548,84.19317500000001,0.517484,0
